书名,出版信息,当前价格,星级,评论数
 机器学习入门之道 机器学习商业应用指南 人工智能入门教程 数据科学参考书 代码基于python,[日]中井悦司 /2018-05-01  /人民邮电出版社,?35.40,width: 100%;,699条评论
 机器学习：算法背后的理论与优化 深入浅出地阐述了经典机器学习技术背后的优化数学模型和求解算法,史春奇、卜晶?t、施智平 /2019-06-04  /清华大学出版社,?31.10,width: 100%;,503条评论
 机器学习与R语言（原书第2版） 涵盖机器学习核心算法，包含大量的实际案例，详尽的分析步骤，Amazon广泛好评,（美）布雷特?兰茨（Brett Lantz） /2017-03-14  /机械工业出版社,?48.20,width: 100%;,692条评论
 机器学习与安全 为解决一系列安全问题提供了一个机器学习算法工具箱,Clarence Chio，David Freeman /2019-08-20  /中国电力出版社,?44.00,width: 100%;,215条评论
 自动机器学习入门与实践：使用Python 写给程序员看的机器学习入门宝典,西班扬?达斯，乌米特?卡卡马克 /2019-12-30  /华中科技大学出版社,?36.40,width: 100%;,35条评论
 机器学习应用系统设计 ,[日]有贺康??，[日]中山心太，[日]西林孝 /2018-12-19  /中国电力出版社,?34.00,width: 100%;,170条评论
 TensorFlow机器学习 ,[美] 尼山特?舒克拉（Nishant Shukla） /2019-11-11  /机械工业出版社,?54.50,width: 100%;,143条评论
 R语言统计分析与机器学习（微课视频版） 手机扫码看视频讲解，精选大型实战案例，将知识点嵌入实际操作，可视化分析方法帮助理解，赠配套视频源文件及源程序代码下载。,薛震 孙玉林 著 /2020-02-01  /水利水电出版社,?79.00,width: 100%;,200条评论
 百面机器学习 算法工程师带你去面试 人工智能时代不可不读机器学习面试宝典 全面收录100+真实算法面试题 互联网头部企业都在用 直通人工智能领域 微软副总裁沈向洋 浪潮之巅 数学之美作者吴军 计算广告作者刘鹏 联袂推荐 全彩印刷,诸葛越 葫芦娃 /2018-08-01  /人民邮电出版社,?61.40,width: 90%;,5960条评论
 机器学习与深度学习算法基础 从算法原理、算法思维到公式再到代码实战，图解13种经典机器学习算法+4种深度学习模型，不仅告诉你是什么，还告诉你为什么，以及怎么用！,贾壮 /2020-08-10  /北京大学出版社,?61.40,width: 100%;,106条评论
 机器学习：使用OpenCV和Python进行智能图像处理 基于OpenCV和Python的机器学习实战手册，基础知识与具体实例相结合，并提供大量实例代码，帮你掌握机器学习实用技巧，解决各种不同的机器学习和图像处理问题。,[美]迈克尔?贝耶勒（Michael Beyeler） /2018-11-15  /机械工业出版社,?48.20,width: 90%;,1788条评论
 白话机器学习算法 机器学习算法工程师入门教程 算法及数据科学入门图书 涵盖回归分析 神经网络 决策树 A/B测试等 列为斯坦福大学大数据基础课程教材,[新加坡] 黄莉婷 苏川集 /2019-02-01  /人民邮电出版社,?34.50,width: 80%;,402条评论
 机器学习及其应用 全景式呈现机器学习领域的基础理论，以及将这些技术应用于实际问题的有效方法，提供自学项目和数据集,[印]M. 戈帕尔（M. Gopal） /2020-05-28  /机械工业出版社,?104.20,width: 0%;,4条评论
 机器学习案例实战 机器学习原理与产学合作企业真实案例结合的实践指导书,赵卫东 /2019-09-01  /人民邮电出版社,?29.90,width: 100%;,365条评论
 机器学习：算法视角（原书第2版） CRC Press机器学习领域畅销教材 知名媒体推荐的十大机器学习入门教材之一。 新西兰惠灵顿维多利亚大学数学与统计学院史蒂芬?马斯兰教授所著 南京大学计算机科学与技术系高阳教授、商琳副教授联袂翻译。,[新西兰] 史蒂芬?马斯兰（Stephen Marsland） /2019-04-20  /机械工业出版社,?69.20,width: 100%;,1223条评论
